Net ID,Exam 3 review/makeup,Exam 3 review/makeup (%)
aadams28,100,100
adamjh92,100,100
aezuniga,100,100
alexev94,75.8620689655,75.8621
amdal,,
amoore38,100,100
amwise,96.5517241379,96.5517
arainsdo,75.8620689655,75.8621
arojo2,44.8275862069,44.8276
arthurjw,96.5517241379,96.5517
ashlans,96.5517241379,96.5517
austin44,100,100
bakern2,96.5517241379,96.5517
bcall24,100,100
bcandler,93.1034482759,93.1034
bcaskers,100,100
bdaws,,
bensomat,0,0
black77,86.2068965517,86.2069
bmasino,96.5517241379,96.5517
bmorrr6,96.5517241379,96.5517
brodyds,,
brookeef,96.5517241379,96.5517
bshaylor,100,100
buck52,100,100
burkd,96.5517241379,96.5517
carterjp,93.1034482759,93.1034
ccutle25,72.4137931034,72.4138
cfowler5,100,100
cgrimmer,,
chadley2,100,100
chancy,96.5517241379,96.5517
cmarti28,100,100
cmderric,100,100
conleyt,100,100
crobin22,100,100
croziern,100,100
cwhouse,96.5517241379,96.5517
cwilde92,96.5517241379,96.5517
dance13,96.5517241379,96.5517
danr5017,51.724137931,51.7241
dda025,100,100
dhuffman,86.2068965517,86.2069
dps92,100,100
drewdm2,93.1034482759,93.1034
ericks4,96.5517241379,96.5517
fhamrick,96.5517241379,96.5517
firefife,100,100
fjennifk,,
fuhri4,96.5517241379,96.5517
fullerr,0,0
gavinbut,96.5517241379,96.5517
ghodgson,48.275862069,48.2759
gilmanj,96.5517241379,96.5517
gkords,100,100
goodmag,96.5517241379,96.5517
grode13,100,100
guanhao,,
hajjel,96.5517241379,96.5517
hannahd9,100,100
horro2,96.5517241379,96.5517
hunterp2,100,100
hweiner,96.5517241379,96.5517
jacobboy,100,100
jaguiar3,100,100
jaysonbr,96.5517241379,96.5517
jbills92,100,100
jcrabtr2,100,100
jdgoates,96.5517241379,96.5517
jdv29,93.1034482759,93.1034
jhanse43,0,0
jharvey8,82.7586206897,82.7586
jhyeri29,86.2068965517,86.2069
jluke7,96.5517241379,96.5517
johng219,86.2068965517,86.2069
joldroy2,100,100
jonjarma,100,100
jsowards,100,100
jtjg1991,86.2068965517,86.2069
juli0424,100,100
junkimp,100,100
jvanvalk,,
jwelder,100,100
jywhitin,100,100
kalebme,100,100
kbritney,100,100
kcaleb,100,100
kcalley,62.0689655172,62.069
kcuz93,96.5517241379,96.5517
kellerbr,100,100
kelsielm,96.5517241379,96.5517
kernal94,96.5517241379,96.5517
kiserr,100,100
kyle1030,100,100
kylerp,100,100
lindgood,100,100
logann2,96.5517241379,96.5517
lwl22,96.5517241379,96.5517
mariahfg,100,100
marinkw,96.5517241379,96.5517
mcpoff,96.5517241379,96.5517
mcrumrin,68.9655172414,68.9655
mhuey2,100,100
mikebash,96.5517241379,96.5517
mikesel2,62.0689655172,62.069
mlivermo,100,100
mollyrm,100,100
morganl7,96.5517241379,96.5517
mrowley9,100,100
naomih,100,100
nellek28,,
nflint,100,100
nlohner,96.5517241379,96.5517
npadill2,93.1034482759,93.1034
pwri8,96.5517241379,96.5517
radfordp,96.5517241379,96.5517
rand627,100,100
reaster,96.5517241379,96.5517
rpfister,96.5517241379,96.5517
samuelgb,100,100
sandss,93.1034482759,93.1034
scottsp2,100,100
seymoure,100,100
shill28,96.5517241379,96.5517
shumate2,,
skaggs92,100,100
smarrott,100,100
smiedema,100,100
smithbj,,
smithm23,100,100
smm240,3.4482758621,3.4483
ssamant,100,100
steven66,100,100
stevenac,96.5517241379,96.5517
stevenso,100,100
swinsor,100,100
tayloref,100,100
taylorlp,93.1034482759,93.1034
taysomew,86.2068965517,86.2069
tcollage,86.2068965517,86.2069
terondh,89.6551724138,89.6552
tfrankie,37.9310344828,37.931
tnortonj,100,100
tpark12,96.5517241379,96.5517
trevorhf,96.5517241379,96.5517
tysonmw,96.5517241379,96.5517
vaterlat,100,100
willard6,100,100
xcrunnin,65.5172413793,65.5172
ystrong,96.5517241379,96.5517
zaneped,96.5517241379,96.5517
zdbcgws,100,100
zoiejump,96.5517241379,96.5517
